ID, IMDB_rating, Title, Rated, Runtime, Genre, Votes, Gross, Metascore
tt0111161,9.3,The Shawshank Redemption,R,142 min,Drama,2194115,$28.34M,80
        tt0068646,9.2,The Godfather,R,175 min,Crime  Drama,1511727,$134.97M,100
        tt0468569,9,The Dark Knight,PG-13,152 min,Action  Crime  Drama,2176590,$534.86M,84
        tt0071562,9,The Godfather: Part II,R,202 min,Crime  Drama,1058941,$57.30M,90
        tt0167260,8.9,The Lord of the Rings: The Return of the King,PG-13,201 min,Adventure  Drama  Fantasy,1560333,$377.85M,94
        tt0110912,8.9,Pulp Fiction,R,154 min,Crime  Drama,1724280,$107.93M,94
        tt0108052,8.9,Schindler's List,R,195 min,Biography  Drama  History,1145319,$96.90M,94
        tt0050083,8.9,12 Angry Men,Not Rated,96 min,Drama,640147,$4.36M,96
        tt1375666,8.8,Inception,PG-13,148 min,Action  Adventure  Sci-Fi,1925428,$292.58M,74
        tt0137523,8.8,Fight Club,R,139 min,Drama,1752584,$37.03M,66
        tt0120737,8.8,The Lord of the Rings: The Fellowship of the Ring,PG-13,178 min,Action  Adventure  Drama,1572175,$315.54M,92
        tt0109830,8.8,Forrest Gump,PG-13,142 min,Drama  Romance,1693081,$330.25M,82
        tt0060196,8.8,The Good the Bad and the Ugly,R,178 min,Western,650807,$6.10M,90
        tt0167261,8.7,The Lord of the Rings: The Two Towers,PG-13,179 min,Adventure  Drama  Fantasy,1408653,$342.55M,87
        tt0133093,8.7,The Matrix,R,136 min,Action  Sci-Fi,1580049,$171.48M,73
        tt0099685,8.7,Goodfellas,R,146 min,Biography  Crime  Drama,954673,$46.84M,90
        tt0080684,8.7,Star Wars: Episode V - The Empire Strikes Back,PG,124 min,Action  Adventure  Fantasy,1101779,$290.48M,82
        tt0073486,8.7,One Flew Over the Cuckoo's Nest,R,133 min,Drama,865265,$112.00M,83
        tt0056058,8.7,Harakiri,Not Rated,133 min,Action  Drama  History,30590,NaN,85
        tt7286456,8.6,Joker,R,122 min,Crime  Drama  Thriller,693980,$192.73M,59
        tt6751668,8.6,Parasite,R,132 min,Comedy  Drama  Thriller,280327,NaN,96
        tt0816692,8.6,Interstellar,PG-13,169 min,Adventure  Drama  Sci-Fi,1378729,$188.02M,74
        tt0317248,8.6,City of God,R,130 min,Crime  Drama,667738,$7.56M,79
        tt0245429,8.6,Spirited Away,PG,125 min,Animation  Adventure  Family,588590,$10.06M,96
        tt0120815,8.6,Saving Private Ryan,R,169 min,Drama  War,1163892,$216.54M,91
        tt0120689,8.6,The Green Mile,R,189 min,Crime  Drama  Fantasy,1070621,$136.80M,61
        tt0118799,8.6,Life Is Beautiful,PG-13,116 min,Comedy  Drama  Romance,581894,$57.60M,59
